Codigo;Provincia;Edad simple;Periodo;Centenarios
02;Albacete;100 y más años;1 de enero de 2023;114
03;Alicante/Alacant;100 y más años;1 de enero de 2023;336
04;Almería;100 y más años;1 de enero de 2023;76
01;Araba/Álava;100 y más años;1 de enero de 2023;133
33;Asturias;100 y más años;1 de enero de 2023;480
05;Ávila;100 y más años;1 de enero de 2023;135
06;Badajoz;100 y más años;1 de enero de 2023;150
07;Balears, Illes;100 y más años;1 de enero de 2023;260
08;Barcelona;100 y más años;1 de enero de 2023;1807
48;Bizkaia;100 y más años;1 de enero de 2023;455
09;Burgos;100 y más años;1 de enero de 2023;229
10;Cáceres;100 y más años;1 de enero de 2023;188
11;Cádiz;100 y más años;1 de enero de 2023;166
39;Cantabria;100 y más años;1 de enero de 2023;260
12;Castellón/Castelló;100 y más años;1 de enero de 2023;150
13;Ciudad Real;100 y más años;1 de enero de 2023;138
14;Córdoba;100 y más años;1 de enero de 2023;213
15;Coruña, A;100 y más años;1 de enero de 2023;501
16;Cuenca;100 y más años;1 de enero de 2023;90
20;Gipuzkoa;100 y más años;1 de enero de 2023;251
17;Girona;100 y más años;1 de enero de 2023;262
18;Granada;100 y más años;1 de enero de 2023;167
19;Guadalajara;100 y más años;1 de enero de 2023;101
21;Huelva;100 y más años;1 de enero de 2023;89
22;Huesca;100 y más años;1 de enero de 2023;111
23;Jaén;100 y más años;1 de enero de 2023;135
24;León;100 y más años;1 de enero de 2023;306
25;Lleida;100 y más años;1 de enero de 2023;176
27;Lugo;100 y más años;1 de enero de 2023;249
28;Madrid;100 y más años;1 de enero de 2023;2211
29;Málaga;100 y más años;1 de enero de 2023;223
30;Murcia;100 y más años;1 de enero de 2023;235
31;Navarra;100 y más años;1 de enero de 2023;267
32;Ourense;100 y más años;1 de enero de 2023;261
34;Palencia;100 y más años;1 de enero de 2023;122
35;Palmas, Las;100 y más años;1 de enero de 2023;140
36;Pontevedra;100 y más años;1 de enero de 2023;366
26;Rioja, La;100 y más años;1 de enero de 2023;143
37;Salamanca;100 y más años;1 de enero de 2023;289
38;Santa Cruz de Tenerife;100 y más años;1 de enero de 2023;161
40;Segovia;100 y más años;1 de enero de 2023;118
41;Sevilla;100 y más años;1 de enero de 2023;297
42;Soria;100 y más años;1 de enero de 2023;87
43;Tarragona;100 y más años;1 de enero de 2023;269
44;Teruel;100 y más años;1 de enero de 2023;83
45;Toledo;100 y más años;1 de enero de 2023;251
46;Valencia/València;100 y más años;1 de enero de 2023;579
47;Valladolid;100 y más años;1 de enero de 2023;264
49;Zamora;100 y más años;1 de enero de 2023;157
50;Zaragoza;100 y más años;1 de enero de 2023;391
51;Ceuta;100 y más años;1 de enero de 2023;10
52;Melilla;100 y más años;1 de enero de 2023;8
